"","name","SC0.IN0","SC0.IN1","SC1.IN0","SC1.IN1","pool","id","location_code","historic_name","latitude","longitude","water_depth","sensor_depth","rec_time","cycle_time","start_data","end_data","sampling_rate","institution_source","region","sum_bins","neg_perc_sc","accuracy","balanced_accuracy","f1","recall","precision","in_per_mooring_stats_pool"
"65","AW15_AU_KZ01",64230,2882,1951,29273,"test",113,"KZ01","AW15_AU_KZ1",67.1236,-168.604367,42,38.8,80,300,2015-09-22 07:00:00,2016-09-21 23:20:00,16384,"AFSC",1,98336,68.247640741946,0.950852180279857,0.947286436748561,0.923744457943483,0.937516013323085,0.910371637381434,1
"67","AW15_AU_NS01",64441,1312,1462,31233,"test",115,"NS01","AW15_AU_NS1",63.3990833,-166.2362167,22,20,80,300,2015-09-24 07:00:00,2016-09-24 09:20:00,16384,"AFSC",1,98448,66.7895741914513,0.971822688119616,0.96766511016041,0.957480073574494,0.955283682520263,0.959686587801506,1
"68","AW15_AU_PH01",26080,2478,1147,8263,"test",117,"PH01","AW15_AU_PH1",67.91035,-168.1983,57,54.2,80,300,2015-09-22 07:00:00,2016-02-10 10:20:00,16384,"AFSC",1,37968,75.2159713442899,0.904524863042562,0.895668806528229,0.820108183216714,0.878108395324123,0.769295223908388,1
"69","AW15_AU_WT01",49680,2428,628,43808,"test",119,"WT01","AW15_AU_WT1",71.046967,-160.502583,49,46.4,80,300,2015-09-14 07:00:00,2016-09-07 07:20:00,16384,"AFSC",2,96544,53.9733178654292,0.9683460391117,0.969635891216967,0.966296100229398,0.98586731478981,0.947486806817199,1
"70","BF10_AU_BF02",29020,2093,408,6951,"test",135,"BF02","BF10_AU_BF2",71.7505167,-154.4829667,100,94.6,9,20,2010-09-20 07:00:00,0011-08-30 01:30:58,8192,"AFSC",2,38472,80.8718028696195,0.934991682262425,0.938643384386797,0.847527891239407,0.944557684467998,0.768575851393189,1
"71","BF11_AU_BF02",26931,443,3124,17358,"test",138,"BF02","BF11_AU_02",71.7511667,-154.48,104,94.8,6,20,2011-09-01 07:00:00,0012-07-29 15:38:58,8192,"AFSC",2,47856,57.2007689735874,0.925463891675025,0.915646296433922,0.906825483896246,0.847475832438238,0.975113757654064,1
"89","CX12_AU_IC02",55083,2398,1495,38584,"test",201,"IC02","CX12_AU_IC2",71.2019833,-164.1989,43,44.5,85,300,2012-08-27 07:00:00,2013-07-31 21:25:00,16384,"AFSC",2,97560,58.9186141861419,0.96009635096351,0.960490268589111,0.951974439002726,0.9626986701265,0.941486506271046,1
"90","CX12_AU_IC03",56249,2415,1542,44554,"test",202,"IC03","CX12_AU_IC3",71.8292167,-166.0715833,42,40.7,85,300,2012-08-28 07:00:00,2013-08-26 21:25:00,16384,"AFSC",2,104760,55.9984726995036,0.962227949599084,0.9626907148236,0.957481330253049,0.966548073585561,0.948583108007409,1
"91","CX12_AU_WT02",65863,1475,1462,35960,"test",203,"WT02","CX12_AU_WT2",71.7823,-161.84885,41,36.4,85,300,2012-08-30 07:00:00,2013-08-28 21:25:00,16384,"AFSC",2,104760,64.2783505154639,0.971964490263459,0.969513824788707,0.960765192299985,0.960932072043183,0.960598370508882,1
"92","CX13_AU_HS01",79235,982,1226,25741,"test",204,"HS01","CX13_AU_HS1",72.4269167,-161.6286167,45,40,80,300,2013-08-30 07:00:00,2014-10-02 21:20:00,16384,"AFSC",2,107184,74.8404612628751,0.979399910434393,0.971147616301484,0.958875023281803,0.954537026736382,0.963252628821614,1
"93","CX13_AU_IC02",68700,1415,1491,34346,"test",206,"IC02","CX13_AU_IC2",71.2048167,-164.21065,45,41.4,80,300,2013-08-28 07:00:00,2014-09-26 07:20:00,16384,"AFSC",2,105952,66.1761929930535,0.972572485653881,0.969106911967885,0.959412274085868,0.958394954934844,0.960431755264115,1
"94","CX13_AU_IC03",70898,1130,958,33078,"test",207,"IC03","CX13_AU_IC3",71.8313833,-166.0736767,45,38.6,80,300,2013-08-28 07:00:00,2014-09-26 17:20:00,16384,"AFSC",2,106064,67.9099411675969,0.980313772816413,0.978082494172181,0.96940390363988,0.971853331766365,0.966966791393826,1
